Time(seconds),Bus Name,Signal Name,Data
13.212619000,Async 2,BT_RX,00
13.212706000,Async 2,BT_RX,D3
13.212792000,Async 2,BT_RX,C3
13.212878000,Async 2,BT_RX,0C
13.212964000,Async 2,BT_RX,00
13.213050000,Async 2,BT_RX,01
13.213136000,Async 2,BT_RX,00
13.213223000,Async 2,BT_RX,11
13.213309000,Async 2,BT_RX,01
13.213395000,Async 2,BT_RX,01
13.213481000,Async 2,BT_RX,23
13.213567000,Async 2,BT_RX,45
13.213653000,Async 2,BT_RX,67
13.213740000,Async 2,BT_RX,89
13.213826000,Async 2,BT_RX,AB
13.213912000,Async 2,BT_RX,CD
13.213998000,Async 2,BT_RX,EF
13.215311000,Async 2,BT_TX,0C
13.215404000,Async 2,BT_TX,00
13.215496000,Async 2,BT_TX,00
13.215588000,Async 2,BT_TX,D3
13.215680000,Async 2,BT_TX,03
13.215773000,Async 2,BT_TX,05
13.215871000,Async 2,BT_TX,00
13.215963000,Async 2,BT_TX,01
13.216056000,Async 2,BT_TX,00
13.216148000,Async 2,BT_TX,00
13.216240000,Async 2,BT_TX,11
13.216333000,Async 2,BT_TX,01
13.217051000,Async 2,BT_RX,0A
13.217137000,Async 2,BT_RX,00
13.217223000,Async 2,BT_RX,00
13.217310000,Async 2,BT_RX,D3
13.217396000,Async 2,BT_RX,83
13.217482000,Async 2,BT_RX,03
13.217568000,Async 2,BT_RX,00
13.217654000,Async 2,BT_RX,01
13.217740000,Async 2,BT_RX,00
13.217827000,Async 2,BT_RX,00
21.653826000,Async 2,BT_RX,0B
21.653912000,Async 2,BT_RX,00
21.653998000,Async 2,BT_RX,00
21.654084000,Async 2,BT_RX,D1
21.654171000,Async 2,BT_RX,93
21.654257000,Async 2,BT_RX,04
21.654343000,Async 2,BT_RX,00
21.654429000,Async 2,BT_RX,01
21.654515000,Async 2,BT_RX,00
21.654601000,Async 2,BT_RX,00
21.654688000,Async 2,BT_RX,13
21.656096000,Async 2,BT_TX,56
21.656188000,Async 2,BT_TX,00
21.656280000,Async 2,BT_TX,00
21.656373000,Async 2,BT_TX,D1
21.656465000,Async 2,BT_TX,08
21.656558000,Async 2,BT_TX,4F
21.656650000,Async 2,BT_TX,00
21.656743000,Async 2,BT_TX,A0
21.656835000,Async 2,BT_TX,00
21.656927000,Async 2,BT_TX,00
21.657020000,Async 2,BT_TX,01
21.657124000,Async 2,BT_TX,00
21.657217000,Async 2,BT_TX,00
21.657310000,Async 2,BT_TX,00
21.657402000,Async 2,BT_TX,00
21.657495000,Async 2,BT_TX,00
21.657587000,Async 2,BT_TX,00
21.657680000,Async 2,BT_TX,00
21.657772000,Async 2,BT_TX,00
21.657864000,Async 2,BT_TX,00
21.657957000,Async 2,BT_TX,07
21.658049000,Async 2,BT_TX,00
21.658142000,Async 2,BT_TX,17
21.658234000,Async 2,BT_TX,02
21.658327000,Async 2,BT_TX,01
21.658419000,Async 2,BT_TX,02
21.658512000,Async 2,BT_TX,07
21.658605000,Async 2,BT_TX,03
21.658697000,Async 2,BT_TX,00
21.658790000,Async 2,BT_TX,18
21.658882000,Async 2,BT_TX,0D
21.658975000,Async 2,BT_TX,18
21.659067000,Async 2,BT_TX,0F
21.659160000,Async 2,BT_TX,18
21.659252000,Async 2,BT_TX,0B
21.659344000,Async 2,BT_TX,09
21.659437000,Async 2,BT_TX,42
21.659529000,Async 2,BT_TX,44
21.659622000,Async 2,BT_TX,30
21.659714000,Async 2,BT_TX,37
21.659807000,Async 2,BT_TX,30
21.659899000,Async 2,BT_TX,37
21.659992000,Async 2,BT_TX,37
21.660084000,Async 2,BT_TX,36
21.660176000,Async 2,BT_TX,33
21.660269000,Async 2,BT_TX,37
21.660361000,Async 2,BT_TX,00
21.660454000,Async 2,BT_TX,00
21.660547000,Async 2,BT_TX,00
21.660639000,Async 2,BT_TX,00
21.660732000,Async 2,BT_TX,00
21.660825000,Async 2,BT_TX,00
21.660917000,Async 2,BT_TX,00
21.661009000,Async 2,BT_TX,00
21.661101000,Async 2,BT_TX,0C
21.661194000,Async 2,BT_TX,0B
21.661286000,Async 2,BT_TX,09
21.661379000,Async 2,BT_TX,42
21.661471000,Async 2,BT_TX,44
21.661564000,Async 2,BT_TX,30
21.661656000,Async 2,BT_TX,37
21.661748000,Async 2,BT_TX,30
21.661841000,Async 2,BT_TX,37
21.661933000,Async 2,BT_TX,37
21.662025000,Async 2,BT_TX,36
21.662118000,Async 2,BT_TX,33
21.662210000,Async 2,BT_TX,37
21.662302000,Async 2,BT_TX,00
21.662395000,Async 2,BT_TX,00
21.662487000,Async 2,BT_TX,00
21.662580000,Async 2,BT_TX,00
21.662672000,Async 2,BT_TX,00
21.662764000,Async 2,BT_TX,00
21.662856000,Async 2,BT_TX,00
21.662949000,Async 2,BT_TX,00
21.663042000,Async 2,BT_TX,00
21.663134000,Async 2,BT_TX,00
21.663227000,Async 2,BT_TX,00
21.663319000,Async 2,BT_TX,00
21.663411000,Async 2,BT_TX,00
21.663504000,Async 2,BT_TX,00
21.663596000,Async 2,BT_TX,00
21.663689000,Async 2,BT_TX,00
21.663782000,Async 2,BT_TX,00
21.663874000,Async 2,BT_TX,00
21.663967000,Async 2,BT_TX,00
21.667269000,Async 2,BT_RX,08
21.667355000,Async 2,BT_RX,00
21.667441000,Async 2,BT_RX,00
21.667527000,Async 2,BT_RX,D1
21.667613000,Async 2,BT_RX,88
21.667700000,Async 2,BT_RX,01
21.667786000,Async 2,BT_RX,00
21.667872000,Async 2,BT_RX,00
21.669167000,Async 2,BT_TX,0C
21.669260000,Async 2,BT_TX,00
21.669352000,Async 2,BT_TX,00
21.669445000,Async 2,BT_TX,EF
21.669537000,Async 2,BT_TX,0E
21.669629000,Async 2,BT_TX,05
21.669722000,Async 2,BT_TX,00
21.669814000,Async 2,BT_TX,00
21.669907000,Async 2,BT_TX,20
21.670000000,Async 2,BT_TX,00
21.670105000,Async 2,BT_TX,44
21.670197000,Async 2,BT_TX,00
21.670492000,Async 2,BT_RX,08
21.670578000,Async 2,BT_RX,00
21.670664000,Async 2,BT_RX,00
21.670750000,Async 2,BT_RX,EF
21.670836000,Async 2,BT_RX,8E
21.670923000,Async 2,BT_RX,01
21.671009000,Async 2,BT_RX,00
21.671095000,Async 2,BT_RX,00
