波特率115200bps
P24:每次BT_TX引脚发送数据之前，P24都会有一个短暂的高电平时间，然后恢复低电平
但是有一个命令除外，该命令在P24位高电平过程中发送。【BT_TX	04 FF 05 08 00 99 00 01】
P20引脚全程高电平
EAN全程低电平
RST_N默认高电平

RST_N引脚低电平，蓝牙模块复位

BT_TX 是蓝牙的tx引脚
BT_RX 是蓝牙的rx引脚


BT_TX	08 00 00 D3 80 01 00 00
BT_RX	07 00 00 D2 00 00 00
BT_TX	08 00 00 D2 80 01 00 00
BT_RX	12 00 00 E1 3D 0B 00 03 FC 08 00 D1 66 98 04 00 00 00
BT_TX	0F 00 00 E1 BD 08 00 00 06 0F 04 00 01 03 FC 0E 00 00 E1 7D 07 00 FF 05 03 00 D1 00 00
BT_RX	12 00 00 E1 3D 0B 00 03 FC 08 00 D1 54 98 04 00 00 00
BT_TX	0F 00 00 E1 BD 08 00 00 06 0F 04 00 01 03 FC 0E 00 00 E1 7D 07 00 FF 05 03 00 D1 00 00
BT_RX	07 00 00 E5 01 00 00
BT_TX	08 00 00 E5 81 01 00 00
BT_RX	0A 00 00 D3 20 03 00 02 00 18
BT_TX	0A 00 00 D3 A0 03 00 00 01 00
BT_RX	0D 00 00 D3 22 06 00 01 00 02 02 00 2A
BT_TX	0A 00 00 D3 A2 03 00 00 10 00
BT_RX	1A 00 00 D3 23 13 00 10 00 02 00 2A 0A 00 42 41 38 30 30 37 32 33 32 33 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 11 00
BT_RX	0D 00 00 D3 22 06 00 01 00 02 02 01 2A
BT_TX	0A 00 00 D3 A2 03 00 00 20 00
BT_RX	12 00 00 D3 23 0B 00 20 00 02 01 2A 02 00 00 00 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 21 00
BT_RX	0D 00 00 D3 22 06 00 01 00 02 02 02 2A
BT_TX	0A 00 00 D3 A2 03 00 00 30 00
BT_RX	11 00 00 D3 23 0A 00 30 00 02 02 2A 01 00 00 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 31 00
BT_RX	0D 00 00 D3 22 06 00 01 00 02 02 03 2A
BT_TX	0A 00 00 D3 A2 03 00 00 40 00
BT_RX	16 00 00 D3 23 0F 00 40 00 02 03 2A 06 00 8F CF 03 07 02 04 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 41 00
BT_RX	0D 00 00 D3 22 06 00 01 00 02 02 04 2A
BT_TX	0A 00 00 D3 A2 03 00 00 50 00
BT_RX	18 00 00 D3 23 11 00 50 00 02 04 2A 08 00 0A 00 03 07 00 00 00 00 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 51 00
BT_RX	0A 00 00 D3 20 03 00 02 0A 18
BT_TX	0A 00 00 D3 A0 03 00 00 00 01
BT_RX	0D 00 00 D3 22 06 00 00 01 02 02 29 2A
BT_TX	0A 00 00 D3 A2 03 00 00 10 01
BT_RX	15 00 00 D3 23 0E 00 10 01 02 29 2A 05 00 49 54 52 4F 4E 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 11 01
BT_RX	0D 00 00 D3 22 06 00 00 01 02 02 24 2A
BT_TX	0A 00 00 D3 A2 03 00 00 20 01
BT_RX	1B 00 00 D3 23 14 00 20 01 02 24 2A 0B 00 54 43 33 35 36 36 31 2D 35 30 31 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 21 01
BT_RX	0D 00 00 D3 22 06 00 00 01 02 02 25 2A
BT_TX	0A 00 00 D3 A2 03 00 00 30 01
BT_RX	14 00 00 D3 23 0D 00 30 01 02 25 2A 04 00 30 30 30 30 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 31 01
BT_RX	0D 00 00 D3 22 06 00 00 01 02 02 27 2A
BT_TX	0A 00 00 D3 A2 03 00 00 40 01
BT_RX	18 00 00 D3 23 11 00 40 01 02 27 2A 08 00 35 30 35 30 5F 53 50 50 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 41 01
BT_RX	0D 00 00 D3 22 06 00 00 01 02 02 26 2A
BT_TX	0A 00 00 D3 A2 03 00 00 50 01
BT_RX	1F 00 00 D3 23 18 00 50 01 02 26 2A 0F 00 38 2E 30 30 2E 37 32 42 20 52 4F 4D 3D 35 30 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 51 01
BT_RX	0D 00 00 D3 22 06 00 00 01 02 02 28 2A
BT_TX	0A 00 00 D3 A2 03 00 00 60 01
BT_RX	14 00 00 D3 23 0D 00 60 01 02 28 2A 04 00 30 30 30 30 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 61 01
BT_RX	0D 00 00 D3 22 06 00 00 01 02 02 23 2A
BT_TX	0A 00 00 D3 A2 03 00 00 70 01
BT_RX	21 00 00 D3 23 1A 00 70 01 02 23 2A 11 00 30 30 30 30 30 30 30 30 2D 30 30 30 30 30 30 30 30 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 71 01
BT_RX	18 00 00 D3 20 11 00 10 55 E4 05 D2 AF 9F A9 8F E5 4A 7D FE 43 53 53 49
BT_TX	0A 00 00 D3 A0 03 00 00 00 02
BT_RX	1B 00 00 D3 22 14 00 00 02 0A 10 FE 69 CA 9A 56 19 F6 AB 02 4D AA 6D 43 53 53 49
BT_TX	0A 00 00 D3 A2 03 00 00 10 02
BT_RX	27 00 00 D3 23 20 00 10 02 10 FE 69 CA 9A 56 19 F6 AB 02 4D AA 6D 43 53 53 49 09 00 00 00 00 00 00 00 00 00 00 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 11 02
BT_RX	1B 00 00 D3 22 14 00 00 02 18 10 18 03 A6 28 5E D8 EC 91 1C 48 A3 AC 43 53 53 49
BT_TX	0A 00 00 D3 A2 03 00 00 20 02
BT_RX	1F 00 00 D3 23 18 00 20 02 10 18 03 A6 28 5E D8 EC 91 1C 48 A3 AC 43 53 53 49 01 00 01 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 21 02
BT_RX	1B 00 00 D3 22 14 00 00 02 10 10 16 96 24 47 C6 23 61 BA D9 4B 4D 1E 43 53 53 49
BT_TX	0A 00 00 D3 A2 03 00 00 30 02
BT_RX	1F 00 00 D3 23 18 00 30 02 10 16 96 24 47 C6 23 61 BA D9 4B 4D 1E 43 53 53 49 01 00 01 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 31 02
BT_RX	1B 00 00 D3 22 14 00 00 02 0C 10 B3 9B 72 34 BE EC D4 A8 F4 43 41 88 43 53 53 49
BT_TX	0A 00 00 D3 A2 03 00 00 40 02
BT_RX	1F 00 00 D3 23 18 00 40 02 10 B3 9B 72 34 BE EC D4 A8 F4 43 41 88 43 53 53 49 01 00 01 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 41 02
BT_RX	1B 00 00 D3 22 14 00 00 02 18 10 6E E2 17 EF DA 97 4C 95 9B 3A 6E 02 43 53 53 49
BT_TX	0A 00 00 D3 A2 03 00 00 50 02
BT_RX	1F 00 00 D3 23 18 00 50 02 10 6E E2 17 EF DA 97 4C 95 9B 3A 6E 02 43 53 53 49 01 00 01 03 07
BT_TX	0A 00 00 D3 A3 03 00 00 51 02
BT_RX	0D 00 00 E1 3D 06 00 24 0C 03 04 04 24
BT_TX	0F 00 00 E1 BD 08 00 00 06 0E 04 01 24 0C 00
BT_RX	12 00 00 E1 3D 0B 00 03 FC 08 00 D1 50 98 04 00 01 01
BT_TX	0F 00 00 E1 BD 08 00 00 06 0F 04 00 01 03 FC 0E 00 00 E1 7D 07 00 FF 05 03 00 D1 00 00
BT_RX	0E 00 00 E1 3D 07 00 1E 0C 04 00 02 12 00
BT_TX	0F 00 00 E1 BD 08 00 00 06 0E 04 01 1E 0C 00
BT_RX	0E 00 00 E1 3D 07 00 1C 0C 04 00 04 12 00
BT_TX	0F 00 00 E1 BD 08 00 00 06 0E 04 01 1C 0C 00
BT_RX	08 00 00 E1 0C 01 00 03
BT_TX	08 00 00 E1 8C 01 00 00
BT_RX	56 00 00 D1 08 4F 00 A0 00 00 01 00 00 00 00 00 00 00 00 00 07 00 0F 02 01 02 0B 09 42 41 38 30 30 37 32 33 32 33 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0C 0B 09 42 41 38 30 30 37 32 33 32 33 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
BT_TX	08 00 00 D1 88 01 00 00

