波特率115200bps
P24:每次BT_TX引脚发送数据之前，P24都会有一个短暂的高电平时间，然后恢复低电平
但是有一个命令除外，该命令在P24位高电平过程中发送。【BT_TX	04 FF 05 08 00 99 00 01】
P20引脚全程高电平
EAN全程低电平
RST_N默认高电平

RST_N引脚低电平，蓝牙模块复位

BT_TX 是蓝牙的tx引脚
BT_RX 是蓝牙的rx引脚


BT_TX	0F 00 00 E1 BD 08 00 00 06 0E 04 01 24 0C 00
BT_RX	12 00 00 E1 3D 0B 00 03 FC 08 00 D1 50 98 04 00 01 01
BT_TX	0F 00 00 E1 BD 08 00 00 06 0F 04 00 01 03 FC 0E 00 00 E1 7D 07 00 FF 05 03 00 D1 00 00
BT_RX	0E 00 00 E1 3D 07 00 1E 0C 04 00 02 12 00
BT_TX	0F 00 00 E1 BD 08 00 00 06 0E 04 01 1E 0C 00
BT_RX	0E 00 00 E1 3D 07 00 1C 0C 04 00 04 12 00
BT_TX	0F 00 00 E1 BD 08 00 00 06 0E 04 01 1C 0C 00
BT_RX	08 00 00 E1 0C 01 00 03
BT_TX	08 00 00 E1 8C 01 00 00
BT_RX	56 00 00 D1 08 4F 00 A0 00 00 01 00 00 00 00 00 00 00 00 00 07 00 0F 02 01 02 0B 09 42 41 38 30 30 37 32 33 32 33 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0C 0B 09 42 41 38 30 30 37 32 33 32 33 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
BT_TX	08 00 00 D1 88 01 00 00

