Signal Name,Data
BT_TX,D3
BT_TX,CA
BT_TX,4
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,11
BT_TX,0
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
BT_RX,0A
BT_RX,5
BT_RX,0
BT_RX,1
BT_RX,0
BT_RX,0
BT_RX,11
BT_RX,0
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,8A
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,0B
BT_TX,0
BT_TX,0
BT_TX,D1
BT_TX,93
BT_TX,4
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,13
BT_RX,56
BT_RX,0
BT_RX,0
BT_RX,D1
BT_RX,8
BT_RX,4F
BT_RX,0
BT_RX,A0
BT_RX,0
BT_RX,0
BT_RX,1
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,7
BT_RX,0
BT_RX,0F
BT_RX,2
BT_RX,1
BT_RX,2
BT_RX,0B
BT_RX,9
BT_RX,42
BT_RX,41
BT_RX,38
BT_RX,30
BT_RX,30
BT_RX,37
BT_RX,32
BT_RX,33
BT_RX,32
BT_RX,33
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0C
BT_RX,0B
BT_RX,9
BT_RX,42
BT_RX,41
BT_RX,38
BT_RX,30
BT_RX,30
BT_RX,37
BT_RX,32
BT_RX,33
BT_RX,32
BT_RX,33
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_RX,0
BT_TX,8
BT_TX,0
BT_TX,0
BT_TX,D1
BT_TX,88
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,19
BT_TX,0
BT_TX,0
BT_TX,D1
BT_TX,4C
BT_TX,12
BT_TX,0
BT_TX,0
BT_TX,1
